attention,meditation,delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,highgamma,state
66,81,779960,22003,10672,11446,19420,8432,1354,1818,0
53,67,287420,44241,5347,7015,4730,2361,1241,583,0
53,67,273295,17703,5453,8699,5308,4279,840,870,0
53,67,1733550,30943,23083,12611,26737,33152,18771,3408,0
63,61,1310072,30294,25134,6278,12097,10365,2051,1733,0
63,61,1839673,508906,55366,94790,20431,68048,28121,12964,0
78,60,1586199,154426,63007,123760,102834,127975,36416,6404,0
50,54,219164,13467,9235,1994,6059,3400,1879,3873,0
50,44,1773970,46037,11122,3750,15766,4182,3312,998,0
48,26,550509,245570,9914,14208,21898,14236,5755,2606,0
48,26,1091026,127671,4925,7383,21522,21443,4501,4147,0
47,34,393029,33247,32619,11954,8900,8220,1602,1895,0
47,34,3084465,207184,21778,25144,13757,7314,3983,2675,0
44,40,1185709,72529,6746,12274,5833,3110,4224,1397,0
44,40,1185709,72529,6746,12274,5833,3110,4224,1397,0
38,37,197230,32394,2902,2942,2763,1372,669,2061,0
66,14,1526684,99372,10326,25598,19680,26276,8897,20630,0
57,60,697960,157178,39513,6731,27429,8051,10352,9620,0
63,50,990355,367339,129298,324996,346028,174262,52795,19831,0
63,50,1284948,112434,81234,23142,17228,16163,4373,2485,0
63,50,1166999,23922,46435,54182,76744,117998,14106,11764,0
63,50,866050,166932,20852,41568,44860,46446,28197,16917,0
63,50,903911,131917,59871,75242,49184,136822,25787,7217,0
63,50,216981,4702,714,1861,1565,821,78,90,0
56,57,638989,12467,7095,10092,4943,5487,4142,5048,0
67,61,81742,21421,985,2929,3606,1843,3091,3999,0
57,34,755077,58488,10199,10287,42765,62505,7869,7434,0
57,34,1055952,30657,7043,4316,2390,1073,782,427,0
77,61,1871475,50322,54375,115982,51882,26278,11181,3783,0
77,61,1471629,35101,16234,7412,5214,2911,908,893,0
77,61,1471629,35101,16234,7412,5214,2911,908,893,0
84,61,58420,37711,33775,3439,15504,18205,3800,12585,0
74,64,48107,41460,5279,8415,17654,10475,7215,14746,0
75,60,391511,32751,8602,42077,10327,14307,3998,8239,0
69,63,938017,507994,130465,34708,48353,24259,11149,12259,0
61,70,1618886,57785,61887,50417,20685,26491,3187,17333,0
64,91,75876,10118,7899,4545,7188,4079,2768,1271,0
70,100,64731,15858,23026,14593,14208,6022,8085,6773,0
69,94,44866,31963,38666,6564,24606,9610,8149,6489,0
77,83,50809,37569,11252,17096,8660,20467,2778,2165,0
75,91,29424,22848,31133,23687,12983,9342,5579,6024,0
70,83,122109,16178,436,10692,4072,2061,1987,2024,0
70,83,535394,176590,24353,16238,35992,43358,2278,2310,0
63,56,973778,125205,2194,7145,4388,6946,1973,1160,0
63,56,745881,55333,1483,24345,16270,7286,1953,1365,0
77,83,47647,16497,1500,53999,22619,25159,18570,4531,1
77,93,27391,11527,40673,18192,33004,17781,6868,5437,1
88,81,9270,10462,13332,4364,15376,15327,8073,6671,1
87,81,11701,10325,8441,3392,5113,13202,10796,8565,1
88,74,863224,40401,18101,19970,21158,32087,13367,6812,1
100,63,6869,18560,10045,3639,11544,18395,8783,6666,1
97,63,13334,29187,11127,18995,7803,26918,11248,4500,1
97,70,44285,14391,12383,19525,12445,21529,14001,4041,1
78,24,10404,22481,10942,13473,16632,20121,14761,11156,1
61,60,100994,6465,1526,2663,3083,4696,2557,952,1
66,66,15046,38892,14125,20643,12198,21117,5556,3891,1
63,61,7466,28104,13375,15562,9279,10177,12046,2456,1
70,54,108976,16762,1716,2178,4404,4637,6135,843,1
70,54,9571,17409,2752,14839,12440,19885,16060,3937,1
70,51,13268,11641,6174,7289,14664,7564,6177,5134,1
84,66,19397,19555,2967,17297,10005,21272,5427,10391,1
67,61,116888,45515,7113,5692,5972,5348,2559,827,1
70,63,12740,10541,5365,12409,20279,26187,26004,5579,1
84,69,8292,2999,21561,4435,13656,10297,20930,1626,1
78,60,9661,31490,5610,4939,16494,18800,6558,3482,1
84,57,49210,51238,21067,3112,6521,31540,15292,10983,1
70,53,2570608,398418,136954,63762,32906,44215,8594,4872,1
64,34,729840,82196,4051,21762,23632,21673,9878,4878,1
63,57,4281,7953,17635,17876,11130,14951,5718,2767,1
60,67,10385,7690,2871,20728,21372,10379,6142,1533,1
83,75,15875,4109,17385,2549,6215,16972,10595,5601,1
87,87,11626,41919,9640,21871,7494,19602,10411,1623,1
61,67,82589,20469,11225,6463,10771,26717,3233,4789,0
64,90,5860,39075,96000,10010,10320,24842,29809,6724,0
56,78,173097,23100,3756,4488,8885,3167,6512,1415,0
44,60,161456,44243,3832,6950,2969,3518,1706,1286,0
44,60,87536,46175,8929,19716,6716,20543,5966,7559,0
44,51,170884,45159,43315,12885,22795,16679,6931,4472,0
34,43,25390,81749,5263,6738,3715,2681,3102,1046,0
48,57,22622,16875,18396,18877,27514,17016,8207,2055,0
50,56,111122,51206,4470,22267,10399,26571,11452,4125,0
48,38,823016,149338,12249,19298,18618,26643,11476,3606,0
57,80,3737,24615,62063,6783,16137,7706,11445,9106,1
38,80,41542,94644,38340,2892,9885,7156,1581,574,1
47,53,99497,17250,3437,2354,5995,5170,2364,709,1
51,64,123576,11149,13755,4233,1953,3110,839,654,1
67,74,8897,23547,18564,13575,9165,14335,5783,4555,1
66,100,11382,16722,57401,20303,7794,19490,12491,1992,1
53,100,9149,11815,28039,25180,12365,8699,3210,3078,1
69,94,23820,34125,10251,10986,8653,28870,5051,1834,1
64,80,23901,54847,9581,6945,7571,11970,7085,3621,1
63,63,7535,22716,3181,30203,39812,8327,6479,3829,1
57,44,81449,64762,17078,21590,8529,14191,5932,3233,1
66,47,123199,19283,2916,7695,2179,5051,3501,1157,1
69,38,21459,59007,1039,18859,13374,16143,6089,1417,1
67,35,2385,26768,5016,13902,24997,15648,3648,2404,1
63,51,104781,12268,13559,1321,4795,4331,2994,3183,1
57,29,107641,69774,3511,4166,12995,7708,1901,2353,1
69,21,46391,20159,3694,2477,17589,18002,7689,6063,1
67,30,13785,22677,20462,12758,18993,16228,6283,2002,1
80,1,5950,18290,1231,1685,7383,11476,3754,3099,1
84,34,8976,19514,50518,6393,20255,13871,14730,3136,1
84,69,39363,7408,5755,12240,6792,11828,8276,2473,1
69,43,35974,6807,1066,2892,11311,6179,17043,3593,1
47,41,595786,520312,333702,54726,18954,32869,18177,35154,1
44,41,52226,27908,19372,50333,19172,17116,9224,3560,1
17,38,346081,105107,6119,7128,2412,4630,2636,607,1
37,38,10632,20521,24042,14930,23114,15967,9891,4400,1
50,74,5105,8759,18267,7322,10565,9036,8168,2510,1
67,60,26410,4715,14691,5109,11936,30066,7286,3335,1
83,74,35952,27994,10845,3817,12458,7890,7485,3682,1
78,74,15699,20001,20685,15093,30566,8799,7540,3248,1
17,26,114327,17695,1903,1297,2089,446,200,232,1
88,56,161573,74032,13589,19374,6858,16873,8759,7718,1
84,51,6906,16710,3203,8867,10772,13855,20896,5106,1
83,56,76059,32248,17217,14181,8924,24671,10587,4361,1
75,64,71646,18080,8629,31025,14371,14745,15058,4395,1
80,47,38094,21988,2078,1131,2575,6832,6101,645,1
74,53,33705,35259,6452,21361,14710,13684,15323,5247,1
67,44,23978,27638,9867,3656,15349,10288,6405,10152,1
78,24,4919,13544,2675,3427,6966,14218,12831,4032,1
81,43,16618,17142,13540,4425,12506,13887,4915,2233,1
78,66,6779,11967,30080,8177,13551,17322,1307,3305,1
66,64,20798,31004,8637,5915,9882,8654,6813,5156,1
83,41,11588,19034,5925,4765,10197,13141,5852,6603,1
64,78,18274,11146,52259,38406,17018,8263,9761,2560,1
63,66,21591,45846,15560,19260,14768,21512,7748,9614,1
61,69,26648,35954,10187,24845,24131,12918,3648,3670,1
