56,48,52717,37762,15880,4400,4598,4086,1851,2214,0
50,50,48928,33973,13586,38768,27401,11950,5724,5018,0
50,56,32335,16399,13590,6549,5400,4669,3848,2830,0
51,66,23103,20772,13382,8650,7076,6863,3875,2729,0
38,48,182931,12761,2738,1610,1395,960,255,171,0
48,47,54918,23176,5657,6998,3166,9658,5065,2723,0
54,23,146220,26854,2134,1392,4858,2534,717,976,0
50,17,24185,57663,5287,10528,11251,10022,7321,2332,0
47,30,336928,64343,54403,13107,7914,4310,4083,2400,0
41,38,51833,31997,11287,16226,5726,9403,8903,3138,0
54,56,15453,18646,19120,2532,3673,14202,3762,3644,0
66,56,216776,11915,3210,4603,12411,9733,6152,6688,0
43,37,37243,21514,6945,3047,1988,3465,2672,1580,0
48,51,941801,33373,12185,17016,2810,7984,3933,6330,0
38,34,636377,50501,11085,7543,8243,4020,1953,3244,0
43,51,8230,31244,9130,11450,2845,4535,7700,3485,0
40,63,6583,40385,39669,24576,11147,7188,4043,2421,0
34,54,1523561,75081,11699,18176,6250,5970,1971,939,0
40,53,742613,56458,14386,2292,4334,8565,5225,1486,0
38,60,55314,47486,59199,5721,4349,7984,10343,2687,0
50,53,8283,21507,14627,6112,5393,12733,2521,2001,0
41,35,1757078,205861,21956,45783,12495,30664,8807,4183,2
50,44,125938,16968,6232,2699,2927,3453,4535,1025,2
63,51,22195,12551,7021,7861,8096,8346,6332,3024,2
64,48,27025,31546,4315,4304,5509,4780,1905,3471,2
61,40,922068,110591,4913,23837,15749,14086,9069,8379,2
60,47,69924,36879,21693,23104,11033,8752,10301,8840,2
60,51,51790,9177,11951,7253,5026,8595,9000,2823,2
70,51,12345,12665,3428,1713,4854,4440,10633,4209,2
78,53,26245,9323,13398,5193,5490,6546,2706,3079,2
56,40,493137,32253,17743,7406,5978,6060,4478,2778,2
51,40,1764631,493279,90855,64843,41477,44066,27709,9312,2
63,37,32934,8842,2247,4587,6287,7282,8128,4027,2
57,41,67862,77142,1339,20316,15868,10570,4859,1232,2
64,41,245855,7089,6855,1250,3924,3128,2883,1678,2
70,48,33144,33105,15195,12438,8240,8191,6456,4697,2
60,56,58861,40803,41715,5689,12048,11951,8336,1827,2
50,60,6749,12740,12099,10409,5330,7939,3479,3047,2
